TxID,Sender,Receiver,Amount,Timestamp
57fac342f69ca7468b0cf9b653470fc10d928edf1b0479d32c0d4bd0f53da485,COINBASE,0x4a5ac90101fba16c50ea78d4f39edf5060167c86,50.00,2025-11-04 23:42:19
04a679289d2c6d3ba2754aef2bc461f5389cc49d5a4a7888fa2f432be2608480,0x4abc5a5d45bd39c2a8f5017cc8f8577dae3692cc,0x5e7cb39de34281d552484fc544dddeb48d45c35c,51509.12,2025-11-04 23:42:11
c223f89133e3b4e55e60adac09d03deb62c619525b85b183c4789044507a373e,0xac873f1d7cf716f30b119ed6949729bf7575e46f,0x92d7297fbcd9f46e4e85395ec5761f8eaee020bd,156745.49,2025-11-04 23:42:11
1677e0f984fc98f8924c228673a2544d02316f65f7d04d583fc464cce1e4e43e,0x0c101bf179ebb400464c0360784274649f75f2ab,0x520129e29b768ef779c1b9ad0c413ce9e928347c,68938.39,2025-11-04 23:42:11
370f38b788b9a5dd00e0b2133de9db46aa94837f40c2a9df786c446f556e6da0,0x908d0ec7ef6685f9add8c1bc9b08e9b3a3f0dd69,0xc531ac7856751753fa19cbe77dd048d9de4e0162,2875.66,2025-11-04 23:42:11
6ee2a8a22dfd77e69e75d76d6de992b741892160cfba3da48e83b1f370998d57,0xb6ca5fc4eba5f745733cf78a295629d27a8c92af,0xae743812eef7275883a58d2208825252d3a5e883,254455.40,2025-11-04 23:42:11
9ba59d699a99335f05b4a778ef9a51232565921f4e4512ec993f6255d3adeda8,0x805c7b67bc1ff29d5f86e51ea349611ac3d638e4,0x579f214c65a16a39d961fa60d37aa6f90cfaeb58,106795.13,2025-11-04 23:42:11
9e7849faa74bb27eec44c7c1b8c2f7de1570b3a6f0a1a231550f2861a3821b77,0xd3d953da0ea832cda2ee243881aa25e04dae2467,0x1a7735c0a5f4101f1d61d44a5873987b48200b2b,288557.54,2025-11-04 23:42:11
917dbdbe39fb9c2e1f7f4680f1da75309b902c7190745e29ea6eed92eaffc82c,0x510c1cb537f1a8f3c4dff75f3d0f70836a0f75af,0x639b8202ee279a2efb4e60caa66421835959e77f,69840.62,2025-11-04 23:42:11
da8381a00aa27e25557340430c24fa24774ee10ab7645a86b78414fa04f3799a,0x14e67b68382f01497810ed957232d3e7c93ae503,0x62ac335cf48f533d4a25cfb22bb6cb42a41a8f9e,82131.85,2025-11-04 23:42:11
c36763e11a253e534574cdbab7d549a7d4ed4228eddd540f64e4f0828b11839a,0x920c56cd247c054a6843affed5c2b4029f0bc28e,0x5b9b877326762ae68362172e6d3f6017fa1c7810,139329.10,2025-11-04 23:42:11
ea5a9a9f110e1a149df0eaf5f9f5c636ec58ec32df3f3e57450c040d989318b9,0x71ac08621791d2251f4eea49c190448bfafa653a,0xf7804b5b38f278dd80a5d54c1ce5d0520a7ffc4f,31266.26,2025-11-04 23:42:11
cb8bf80c51de86b3e286b06a5518eaf220831d2248ea6ef87bc2139577578fd6,0xac816cd1af99a10acf919ac0e27196fa0a9e2161,0x02fe3fb034c2b474dbe5e3da9b3a94aca6281e33,79155.06,2025-11-04 23:42:11
859357ccc78db8e5628965eb159baf3f9a914c3d8c2a3e70c41186f785c8ce6f,0x6452e014ff92cbc0928d9b28dc5e6951b6306f82,0xa1a777cacb4a790730aa7fae6775b7094ebe212b,166058.52,2025-11-04 23:42:11
a6b6e4261bfeafd9f565385d6228c2c9e75336223b4ac0fbbedb64e7c8e5fac6,0xaa65bc114ad91da4616e9154d821ac760610e6f2,0xe7ebcf8fe3e5ff5c2f9829d06c91069db2700173,54870.43,2025-11-04 23:42:11
6e54398aba744f94e59a6a53ba46cb99dad3e7f1c6f1b905f7f28e9ee7c1a82c,0xb402638cb7bb6caa3ce91e48a10b49f6908fa430,0xf4e632d32118421789dea771c80d50ffaa75cbbd,88179.26,2025-11-04 23:42:11
03eba458f06b551ec95389494a8c0113f408ecc623138c232a9df4d39f698757,0x0d38ffc3f636b481021ae7efb972f3aa2ca74679,0x4d861f6bb182835437a1c907e153d445f23ba367,81788.36,2025-11-04 23:42:11
82e6769428b2c61ac504c549609beebe9b8d2d4c684f53fbd5c885381301a5cf,0x0e0b618d73fec11d2ade081b2f817a55de11b2f1,0xb94570963f7757221438bd225b54d6062c02acff,226472.55,2025-11-04 23:42:11
7ace3e2e576b0042aac9e5ec1f9fc585433c6e52dbf3321bfa1706963ccb78a6,0x984db77c3f1fa28cf106d2a91d91b223309afb0a,0x86d2c13f40e6dc4e8c407d0776aaffb03f46d449,7800.74,2025-11-04 23:42:11
e8cab81c2ec349076a73da58e628ced4bfc5dd2bc30fc65225a90139815b934b,0xdf9f6a3d10658953761cba1822470c80c52a4a9d,0x42229f21b8a7c35c0d8251dede5f529ab85a83bc,342157.18,2025-11-04 23:42:11
c053db93fdfb95f9cbfa226b6dd786a6e533758e0f8cfba84f319dbaf1f9bb8f,0x9efbd80ef0c1cf1da2446e5fbe480255ef8f5a65,0x455188bcb913036e82a09d4a8457c97429789a03,283258.95,2025-11-04 23:42:11
bf448991d651b73fbf82d1e8d70d881f171c320ab9dda7925f6a110a25357df5,0x4e6b4bdd717fc421a83de79db7cd02ee0f328f47,0x6513f92e799dce0feb7fda8bfe04bb528f361a61,381560.24,2025-11-04 23:42:11
00f0154a5104cf260c02ecdc1f078fe6ed739b1e19479695c2b6ae4fa4e11345,0xf89f6b866bfae28393e970d829c3bf4bcb860280,0x6d1b15da34cdae93ad101c43a076819ddf34a238,77016.32,2025-11-04 23:42:11
69474bd1f610eafc4d33693d276efe0402f318edb3417b0750df1791fc64a173,0xbb849996fa1f9689f2ee5ba9442eb1d4116979f0,0x74d975834be38268e54b2d5ef668c911bcab95ee,457237.19,2025-11-04 23:42:11
fc45252d2fb6aac94ac82dc7e4070b0df2175f5cdab53911bbf38ba9f07dfb32,0xab0a4a62a3ffde9cd3aa326255ad8f6a83683287,0xa2dfcd51d528f1dc9245471c76105e915aa7573f,154342.86,2025-11-04 23:42:11
35a90acfcecfe561bedaa15dda8cd33e91f2dc63317edfdca10ffe5313203497,0xb3f2e51d72a911cbc4629184d059dd27edb0bfea,0xc6985ea566da93e6792c23c438f79aeeb4f75216,249007.81,2025-11-04 23:42:11
5be43939b29240098649c53ddb2713ae4d77ec065533ee8ca2c42bf4a29eaf38,0xb3f2e51d72a911cbc4629184d059dd27edb0bfea,0x98419d7b06a9f220d17caeaf4274d0a0e9ebf73f,394652.31,2025-11-04 23:42:11
